97,LaMainVerte,28 rue des poilus Mandres,126037,94,107
98,Normoto,62 rue des vignes Poitiers,139171,86,70

100,Dartails,75 avenue frederic mistral Mandres,83331,9,17
101,LePainDeSucre,29 rue de la poste Brunoy,27051,4,30

103,LaMainVerte,55 rue de la lavande Paris,50787,92,116

105,LePainDeSucre,95 rue armonie Cannes,51069,48,59
106,GrosDodo,6 rue de la poste Cannes,202285,20,36

108,Dartails,24 avenue de la resistance Cannes,188915,52,89
109,Normoto,95 avenue de la resistance Mandres,154215,87,65

111,Decathcour,31 rue des coteaux Brunoy,224956,8,90

114,Dartails,64 rue des philosophes Rennes,294101,90,35
